ID,CODE,RU_NAME,KZ_NAME,CHANGE_DATE,KATO
39,1904367,САЗДИНСКИЙ РАЙОН,САЗДЫ АУДАНЫ,2008-03-01 13:21:45,151041100
40,1904248,ТЕМИРСКИЙ РАЙОН,ТЕМІР АУДАНЫ,2008-03-01 13:21:45,155600000
41,1904251,УИЛСКИЙ РАЙОН,ОЙЫЛ АУДАНЫ,2008-03-01 13:21:45,155200000
42,1904254,ХОБДИНСКИЙ РАЙОН,ЌОБДА АУДАНЫ,2008-03-01 13:21:45,154200000
43,1904240,ХРОМТАУСКИЙ РАЙОН,ХРОМТАУ АУДАНЫ,2008-03-01 13:21:45,156000000
44,1904258,ШАЛКАРСКИЙ РАЙОН,ШАЛЌАР АУДАНЫ,2008-03-01 13:21:45,156400000
45,1907203,АКСУСКИЙ РАЙОН,АЌСУ АУДАНЫ,2008-03-01 13:21:45,193200000
46,1907206,АЛАКОЛЬСКИЙ РАЙОН,АЛАКҐЛ АУДАНЫ,2008-03-01 13:21:45,193400000
47,1907204,БАЛХАШСКИЙ РАЙОН,БАЛЌАШ АУДАНЫ,2008-03-01 13:21:45,193600000
48,1907212,БУРЛЮТОБИНСКИЙ РАЙОН,БҐРЛІТҐБЕ,2008-03-01 13:21:45,196000000
49,1907226,ГВАРДЕЙСКИЙ РАЙОН,ГВАРДИЯ АУДАНЫ,2008-03-01 13:21:45,194600000
50,1907244,ЕНБЕКШИКАЗАХСКИЙ Р-Н,ЕЅБЕКШІЌАЗАЌ АУДАНЫ,2008-03-01 13:21:45,194000000
51,1907242,ЕСКЕЛЬДИНСКИЙ РАЙОН,ЕСКЕЛДІ АУДАНЫ,2008-03-01 13:21:45,196400000
52,1907208,ЖАМБЫЛСКИЙ РАЙОН,ЖАМБЫЛ АУДАНЫ,2008-03-01 13:21:45,194200000
53,1907211,ИЛИЙСКИЙ РАЙОН,ІЛЕ АУДАНЫ,2008-03-01 13:21:45,196800000
54,1907220,КАПАЛЬСКИЙ РАЙОН,ЌАПАЛ АУДАНЫ,2008-03-01 13:21:45,193200000
55,1907404,КАПЧАГАЙ,ЌАПШАЄАЙ,2008-03-01 13:21:45,191610000
56,1907214,КАРАСАЙСКИЙ РАЙОН,ЌАРАСАЙ АУДАНЫ,2008-03-01 13:21:45,195200000
57,1907223,КАРАТАЛЬСКИЙ РАЙОН,ЌАРАТАЛ АУДАНЫ,2008-03-01 13:21:45,195000000
58,1907217,КЕГЕНСКИЙ РАЙОН (упразднен.),КЕГЕН АУДАНЫ (жойылєан),2008-03-01 13:21:45,194400000
59,1907228,КЕРБУЛАКСКИЙ РАЙОН,КЕРБЎЛАЌ АУДАНЫ,2008-03-01 13:21:45,194600000
60,1907229,КОКСУСКИЙ РАЙОН,КҐКСУ АУДАНЫ,2008-03-01 13:21:45,194800000
61,1907221,КУРТИНСКИЙ РАЙОН,КЇРТІ,2008-03-01 13:21:45,193600000
62,1907233,ПАНФИЛОВСКИЙ РАЙОН,ПАНФИЛОВ АУДАНЫ,2008-03-01 13:21:45,195600000
63,1907227,РАЙЫМБЕКСКИЙ РАЙОН,РАЙЫМБЕК АУДАНЫ,2008-03-01 13:21:45,195800000
64,1907238,САРКАНДСКИЙ РАЙОН,САРЌАНТ АУДАНЫ,2008-03-01 13:21:45,196000000
65,1907407,ТАЛГАРСКИЙ РАЙОН,ТАЛЄАР,2008-03-01 13:21:45,196200000
66,1907232,ТАЛГАРСКИЙ РАЙОН,ТАЛЄАР АУДАНЫ,2008-03-01 13:21:45,196200000
67,1907401,ТАЛДЫКОРГАН,ТАЛДЫЌОРЄАН,2008-03-01 13:21:45,191010000
68,1907405,ТЕКЕЛИ,ТЕКЕЛІ,2008-03-01 13:21:45,192610000
69,1907209,УЙГЕНТАССКИЙ,ЇЙГЕНТАС АУДАНЫ,2008-03-01 13:21:45,193400000
